year,country,WEF_defacto_score,EF_PR_dejure_score,treatment_TRIPS,TRIPS_law_conformity,non_TRIPS_sum,EF_overall_score,EF_trade_freedom,borders_treated
2016,Azerbaijan,4.1,20,0,1,0,60.2,75.8,0
2017,Azerbaijan,4.8,50.5,0,1,0,63.6,74.4,0
2018,Azerbaijan,4.8,53.6,0,1,0,64.3,74.6,0
2019,Azerbaijan,5.2,59.1,0,1,0,65.4,74.6,1
2006,Bahrain,4.1,70,0,1,0,71.6,69.6,0
2007,Bahrain,4.7,60,0,1,0,71.2,79.6,0
2008,Bahrain,4.9,60,0,1,0,72.2,80.8,0
2009,Bahrain,5.1,60,0,1,0,74.8,80,0
2011,Bahrain,5.3,60,0,1,0,77.7,82.8,0
2012,Bahrain,5.1,55,0,1,0,75.2,82.8,0
2013,Bahrain,4.8,55,0,1,0,75.5,82.8,0
2014,Bahrain,4.7,60,0,1,0,75.1,78.6,0
2015,Bahrain,4.8,60,0,1,0,73.4,78.6,0
2016,Bahrain,5,60,0,1,0,74.3,82.6,0
2017,Bahrain,5,64.2,0,0.5,2,68.5,82.8,1
2018,Bahrain,5,62.1,0,0.5,2,67.7,83.4,1
2019,Bahrain,5.2,63.5,0,0.5,2,66.4,83.8,1
2006,Bangladesh,2.1,30,0,1,0,52.9,48.2,0
2007,Bangladesh,2,30,0,1,0,46.7,0,0
2008,Bangladesh,2,25,0,1,0,44.2,0,0
2009,Bangladesh,2.4,25,0,1,0,47.5,40.2,0
2011,Bangladesh,2.4,20,0,1,0,53,58,0
2012,Bangladesh,2.4,20,0,1,0,53.2,54,0
2013,Bangladesh,2.6,20,0,1,0,52.6,54,0
2014,Bangladesh,2.5,20,0,1,0,54.1,59,0
2015,Bangladesh,2.6,20,0,1,0,53.9,59,0
2016,Bangladesh,3,20,0,1,0,53.3,63.6,0
2017,Bangladesh,3.2,34.9,0,1,0,55,63.6,0
2018,Bangladesh,3.4,32.4,0,1,0,55.1,61.2,0
2019,Bangladesh,3.2,36.1,0,1,0,55.6,63.6,0
2006,Botswana,3.4,70,0,1,0,68.8,77.8,0
2007,Botswana,3.1,70,0,1,0,68.1,69.6,0
2008,Botswana,3.3,70,0,1,0,68.2,67.6,0
2009,Botswana,3.9,75,0,1,0,69.7,69,0
2011,Botswana,4,70,0,1,0,68.8,75.2,0
2012,Botswana,4.1,70,0,1,0,69.6,79.7,0
2013,Botswana,4.1,70,0,1,0,70.6,79.7,0
2014,Botswana,4.2,70,0,1,0,72,82.7,0
2015,Botswana,4.3,70,0,1,0,69.8,72.2,0
2016,Botswana,4.3,70,0,1,0,71.1,84,0
2017,Botswana,4.2,58.1,0,1,0,70.1,83.8,0
2018,Botswana,4.1,57.7,0,1,0,69.9,83.9,0
2019,Botswana,4.1,58.1,0,1,0,69.5,83.8,0
2006,Brazil,3.4,50,0,1,0,60.9,69,0
2007,Brazil,3.3,50,0,1,3,56.2,69.8,0
2008,Brazil,3.3,50,0,1,3,56.2,70.8,0
2009,Brazil,3,50,0,1,3,56.7,71.6,0
2011,Brazil,3.2,50,0,1,3,56.3,69.8,0
2012,Brazil,3.5,50,0,1,3,57.9,69.7,0
2013,Brazil,3.5,50,0,1,3,57.7,69.7,0
2014,Brazil,3.3,50,0,1,6,56.9,69.3,0
2015,Brazil,3.7,50,0,1,9,56.6,69.6,0
2016,Brazil,4.1,45,0,1,9,56.5,69.4,0
2017,Brazil,4.2,55,0,1,9,52.9,69.4,0
2018,Brazil,4,55.8,0,1,9,51.4,68.5,0
2019,Brazil,3.8,57.3,0,1,9,51.9,69,0
2006,Burundi,2,30,0,1,0,48.7,56,0
2007,Burundi,2.1,30,0,1,0,46.9,60.6,0
2008,Burundi,2.2,30,0,1,0,46.2,50.2,0
2009,Burundi,2.1,30,0,1,0,48.8,63,0
2011,Burundi,1.9,20,0,1,0,49.6,78.8,0
2012,Burundi,1.9,20,0,1,0,48.1,78.9,0
2013,Burundi,2.3,20,0,1,0,49,78.9,0
2014,Burundi,2.6,20,0,1,0,51.4,71.8,0
2015,Burundi,2.6,20,0,1,0,53.7,72.2,0
2016,Burundi,2.7,20,0,1,0,53.9,74.2,0
2017,Burundi,3.2,25.7,0,1,0,53.2,74.2,0
2018,Burundi,3.2,17.6,0,1,0,50.9,69.2,0
2019,Burundi,3.8,20.6,0,1,0,48.9,68.2,0
2006,Cambodia,2.5,30,0,1,0,56.7,53.4,0
2007,Cambodia,2.7,30,0,1,0,55.9,52.2,0
2008,Cambodia,2.7,30,0,1,0,55.9,52.2,0
2009,Cambodia,2.7,30,0,1,0,56.6,63.4,0
2011,Cambodia,3.1,30,0,1,0,57.9,70,0
2012,Cambodia,3.3,30,0,1,0,57.6,65.2,0
2013,Cambodia,3.2,30,0,1,0,58.5,70.2,0
2014,Cambodia,2.8,30,0,1,0,57.4,71,0
2015,Cambodia,2.8,25,0,1,0,57.5,72.2,0
2016,Cambodia,3,25,0,1,0,57.9,72.2,0
2017,Cambodia,3.1,42.4,0,1,0,59.5,80.3,0
2018,Cambodia,3.3,36,0,1,0,58.7,80.3,0
2019,Cambodia,3.5,37.4,0,1,0,57.8,65.4,0
2006,Cameroon,3.4,30,0,1,0,54.6,54.8,0
2007,Cameroon,3.5,30,0,1,0,55.6,60,0
2008,Cameroon,3.1,30,0,1,0,54.3,57,0
2009,Cameroon,2.6,30,0,1,0,53,56,0
2011,Cameroon,3,30,0,1,0,51.8,59.6,0
2012,Cameroon,3.1,30,0,1,0,51.8,54.9,0
2013,Cameroon,3.2,30,0,1,0,52.3,54.9,0
2014,Cameroon,3.4,30,0,1,0,52.6,61.2,0
2015,Cameroon,3.9,25,0,1,0,51.9,59.6,0
2016,Cameroon,4.3,25,0,1,0,54.2,61.6,0
2017,Cameroon,4.5,43.5,0,1,0,51.8,53.4,0
2018,Cameroon,4.3,40.6,0,1,0,51.9,53.4,0
2019,Cameroon,4.1,42.5,0,1,0,52.4,53.4,0
2006,Canada,5.6,90,0,1,2,77.4,83.2,0
2007,Canada,5.7,90,0,1,4,78,88.2,0
2008,Canada,5.6,90,0,1,4,80.2,87,0
2009,Canada,5.5,90,0,1,4,80.5,88.2,0
2011,Canada,5.4,90,0,1,10,80.8,88.1,0
2012,Canada,5.4,90,0,1,10,79.9,87.9,0
2013,Canada,5.6,90,0,1,10,79.4,88.2,0
2014,Canada,5.7,90,0,1,12,80.2,88.3,0
2015,Canada,5.8,90,0,1,12,79.1,88.4,0
2016,Canada,5.9,90,0,1,12,78,87,0
2017,Canada,5.8,88.3,0,1,15,78.5,88.4,0
2018,Canada,5.6,87.5,0,1,17,77.7,88.1,0
2019,Canada,5.5,87,0,1,17,77.7,86.8,0
2006,Chad,2,30,0,1,0,50,57,0
2007,Chad,2.1,20,0,1,0,50.1,59.2,0
2008,Chad,2.1,20,0,1,0,47.8,60,0
2009,Chad,2.2,20,0,1,0,47.5,58.4,0
2011,Chad,2.3,20,0,1,0,45.3,55.6,0
2012,Chad,2.1,20,0,1,0,44.8,55.6,0
2013,Chad,2.2,20,0,1,0,45.2,55.6,0
2014,Chad,2.5,20,0,1,0,44.5,55.2,0
2015,Chad,2.8,20,0,1,0,45.9,55.2,0
2016,Chad,2.8,20,0,1,0,46.3,49.8,0
2017,Chad,2.9,30.6,0,1,0,49,54.7,0
2018,Chad,3.1,25.1,0,1,0,49.3,52.2,0
2019,Chad,3.1,26.7,0,1,0,49.9,47.2,0
2006,Chile,4,90,0,1,0,78,77.6,0
2007,Chile,4,90,0,1,5,77.7,82.4,0
2008,Chile,3.6,90,0,1,5,78.6,82.2,0
2009,Chile,3.6,90,0,1,8,78.3,85.8,0
2011,Chile,3.6,85,0,1,8,77.4,88,0
2012,Chile,3.7,90,0,1,8,78.3,82,0
2013,Chile,3.8,90,0,1,8,79,82,0
2014,Chile,3.9,90,0,1,8,78.7,82,0
2015,Chile,4.2,90,0,1,8,78.5,82,0
2016,Chile,4.3,85,0,1,8,77.7,86.4,0
2017,Chile,4.4,68.2,0,1,8,76.5,86.4,0
2018,Chile,4.5,67.9,0,1,8,75.2,88.7,0
2019,Chile,4.7,68.7,0,1,8,75.4,88.8,0
2006,China,3.2,30,0,1,10,53.6,68,0
2007,China,3.4,20,0,0.5,21,52,68,0
2008,China,3.9,20,0,0.5,26,53.1,70.2,0
2009,China,4,20,0,1,44,53.2,71.4,0
2011,China,4,20,0,1,58,52,71.6,0
2012,China,3.9,20,0,1,73,51.2,71.6,0
2013,China,3.9,20,0,1,78,51.9,72,0
2014,China,4,20,0,1,80,52.5,71.8,0
2015,China,4,20,0,1,81,52.7,71.8,0
2016,China,4.3,20,0,1,88,52,72.8,0
2017,China,4.5,48.3,0,1,92,57.4,73.6,0
2018,China,4.5,46.7,0,0.5,95,57.8,73.2,0
2019,China,4.5,49.9,0,0.5,97,58.4,73,0
2006,Colombia,3.6,30,0,1,2,60.4,65.8,0
2007,Colombia,3.5,30,0,1,4,59.9,71.4,0
2008,Colombia,3.4,40,0,1,4,62.2,70.8,0
2009,Colombia,3,40,0,1,4,62.3,72.4,0
2011,Colombia,3.2,50,0,1,4,68,73.2,0
2012,Colombia,3.2,50,0,1,4,68,72.2,0
2013,Colombia,3.2,50,0,1,5,69.6,72.2,0
2014,Colombia,3.2,50,0,1,5,70.7,78.8,0
2015,Colombia,3.7,50,0,1,5,71.7,81.2,0
2016,Colombia,4.2,50,0,1,6,70.8,81,0
2017,Colombia,4,63.8,0,1,6,69.7,81.6,0
2018,Colombia,3.9,60.7,0,1,6,68.9,81.6,0
2019,Colombia,3.8,59.2,0,1,7,67.3,76,0
2006,Costa.Rica,3.8,50,0,1,0,65.9,77.4,0
2007,Costa.Rica,3.7,50,0,1,0,64,82.4,0
2008,Costa.Rica,3.5,50,0,1,0,64.2,81.8,0
2009,Costa.Rica,3.5,50,0,1,0,66.4,81.8,0
2011,Costa.Rica,3.5,55,0,1,0,67.3,85.2,0
2012,Costa.Rica,3.6,55,0,1,0,68,85.1,0
2013,Costa.Rica,3.8,50,0,1,0,67,85.1,0
2014,Costa.Rica,4,50,0,1,0,66.9,83.8,0
2015,Costa.Rica,4.3,50,0,1,0,67.2,83.8,0
2016,Costa.Rica,4.5,50,0,1,0,67.4,81.6,0
2017,Costa.Rica,4.8,51.6,0,1,2,65,84.7,0
2018,Costa.Rica,4.8,54.8,0,1,2,65.6,84.7,0
2019,Costa.Rica,4.6,58.3,0,1,2,65.3,81.4,0
2006,Dominican.Republic,3.1,30,0,1,0,56.3,67.4,0
2007,Dominican.Republic,3.3,30,0,1,0,56.8,73.8,0
2008,Dominican.Republic,3.4,30,0,1,0,57.7,73,0
2009,Dominican.Republic,3.2,30,0,1,0,59.2,73,0
2011,Dominican.Republic,2.5,30,0,1,12,60,79.8,0
2012,Dominican.Republic,2.7,30,0,1,12,60.2,80.1,0
2013,Dominican.Republic,3,30,0,1,12,59.7,77.8,0
2014,Dominican.Republic,3.2,30,0,1,12,61.3,77.8,0
2015,Dominican.Republic,3.6,30,0,1,12,61,77.8,0
2016,Dominican.Republic,4,25,0,1,12,61,77.2,0
2017,Dominican.Republic,3.8,56.1,0,1,12,62.9,77,0
2018,Dominican.Republic,3.9,51.7,0,1,12,61.6,72.4,0
2019,Dominican.Republic,4.3,50.6,0,1,12,61,75.8,0
2006,Egypt,3.5,50,0,1,0,53.2,57.6,0
2007,Egypt,3.5,40,0,1,0,54.4,57.2,0
2008,Egypt,3.6,40,0,1,0,58.5,66,0
2009,Egypt,3.7,40,0,1,0,58,63.4,0
2011,Egypt,3.3,40,0,1,0,59.1,74,0
2012,Egypt,3.3,35,0,1,0,57.9,74,0
2013,Egypt,3.2,35,0,1,0,54.8,73.8,0
2014,Egypt,2.9,20,0,1,0,52.9,71.4,0
2015,Egypt,3.2,20,0,1,0,55.2,70,0
2016,Egypt,3.2,20,0,1,0,56,70.6,0
2017,Egypt,3,35.4,0,1,0,52.6,70.2,0
2018,Egypt,3.3,32.7,0,1,0,53.4,70.9,0
2019,Egypt,3.8,37,0,1,0,52.5,71.8,0
2006,El.Salvador,3.5,50,0,1,0,69.6,76.4,0
2007,El.Salvador,3.3,50,0,1,0,68.9,76.6,0
2008,El.Salvador,2.8,50,0,1,0,68.5,76.6,0
2009,El.Salvador,2.9,50,0,1,0,69.8,81.8,0
2011,El.Salvador,2.6,40,0,1,0,68.8,85,0
2012,El.Salvador,2.4,40,0,1,0,68.7,79,0
2013,El.Salvador,2.9,40,0,1,0,66.7,79,0
2014,El.Salvador,3.5,40,0,1,0,66.2,79,0
2015,El.Salvador,3.4,35,0,1,0,65.7,85.2,0
2016,El.Salvador,3.4,35,0,1,0,65.1,85.8,0
2017,El.Salvador,3.2,45.3,0,1,0,64.1,86.5,0
2018,El.Salvador,3.1,37.3,0,1,0,63.2,86.4,0
2019,El.Salvador,3.1,37.6,0,1,0,61.8,81.4,0
2006,Ethiopia,2.5,30,0,1,0,50.9,58,0
2007,Ethiopia,2.9,30,0,1,0,53.6,63,0
2008,Ethiopia,3.3,30,0,1,0,52.5,63,0
2009,Ethiopia,3.3,30,0,1,0,53,68.6,0
2011,Ethiopia,3.6,30,0,1,0,50.5,65.6,0
2012,Ethiopia,3.7,30,0,1,0,52,65.6,0
2013,Ethiopia,3.5,30,0,1,0,49.4,64,0
2014,Ethiopia,3.1,30,0,1,0,50,64.2,0
2015,Ethiopia,3.3,30,0,1,0,51.5,64.4,0
2016,Ethiopia,3.8,30,0,1,0,51.5,65,0
2017,Ethiopia,3.8,32.6,0,1,0,52.7,65.1,0
2018,Ethiopia,3.8,31.1,0,1,0,52.8,60.7,0
2019,Ethiopia,3.1,32.6,0,1,0,53.6,60.8,0
2006,EU,0.660743963,0.808988496,0,1,5,0.472497194,0.362839552,0
2007,EU,0.771746814,0.825944512,0,1,9,0.494652905,0.72852528,0
2008,EU,0.768166077,0.83442252,0,1,13,0.557897387,0.702942328,0
2009,EU,0.671486174,0.87681256,0,1,23,0.570787982,0.699932569,0
2011,EU,0.58912922,0.851378536,0,1,36,0.608654105,0.896319348,0
2012,EU,0.549741111,0.842900528,0,1,40,0.50029254,0.839133926,0
2013,EU,0.553321849,0.83442252,0,1,48,0.538964325,0.812798534,0
2014,EU,0.567644797,0.83442252,0,1,64,0.581261591,0.95651453,0
2015,EU,0.786069763,0.83442252,0,1,71,0.594957848,0.992631639,0
2016,EU,0.936460723,0.808988496,0,1,71,0.587706888,0.993384078,0
2017,EU,0.943622197,1.085032435,0,1,75,0.642894749,0.903091306,0
2018,EU,0.96510662,1.043829316,0,1,76,0.721446812,0.894062029,0
2019,EU,0.968687357,1.060954892,0,1,76,0.69848544,0.807531456,0.08
2006,Georgia,2.6,30,0,1,0,64.5,67.6,0
2007,Georgia,2.8,30,0,1,0,69.3,71.8,0
2008,Georgia,2.8,35,0,1,0,69.2,71,0
2009,Georgia,2.8,35,0,1,0,69.8,80.6,0
2011,Georgia,2.8,40,0,1,0,70.4,89.2,0
2012,Georgia,2.6,40,0,1,0,69.4,89.2,0
2013,Georgia,2.7,45,0,1,0,72.2,89.2,0
2014,Georgia,3,40,0,1,0,72.6,88.6,0
2015,Georgia,3.3,40,0,1,0,73,88.6,0
2016,Georgia,3.6,40,0,1,0,72.6,88.6,0
2017,Georgia,3.7,55.1,0,1,0,76,88.6,0
2018,Georgia,3.8,62.8,0,1,0,76.2,89.4,0
2019,Georgia,3.8,65.9,0,1,0,75.9,88.6,1
2006,Guatemala,2.7,30,0,1,0,59.1,75.2,0
2007,Guatemala,3.1,30,0,1,0,60.5,80.2,0
2008,Guatemala,2.7,30,0,1,0,59.8,78.4,0
2009,Guatemala,2.5,30,0,1,0,59.4,78.4,0
2011,Guatemala,2.5,35,0,1,0,61.9,84.6,0
2012,Guatemala,2.6,30,0,1,0,60.9,84.6,0
2013,Guatemala,2.9,30,0,1,0,60,85.2,0
2014,Guatemala,3.1,25,0,1,0,61.2,85.4,0
2015,Guatemala,3.5,20,0,1,0,60.4,84.6,0
2016,Guatemala,3.9,20,0,1,0,61.8,86.4,0
2017,Guatemala,3.8,45,0,1,0,63,87,0
2018,Guatemala,3.8,40.4,0,1,0,63.4,87.2,0
2019,Guatemala,3.7,40.3,0,1,0,62.6,82.2,0
2006,Honduras,2.8,30,0,1,0,57.4,69.4,0
2007,Honduras,3.3,30,0,1,0,59.1,79.2,0
2008,Honduras,3.4,30,0,1,0,58.9,78,0
2009,Honduras,3.1,30,0,1,0,58.7,78,0
2011,Honduras,3.3,30,0,1,0,58.6,77,0
2012,Honduras,3.2,30,0,1,0,58.8,77.1,0
2013,Honduras,3.1,30,0,1,0,58.4,77.1,0
2014,Honduras,3.5,30,0,1,0,57.1,75.4,0
2015,Honduras,4.2,30,0,1,0,57.4,77.6,0
2016,Honduras,4.1,30,0,1,0,57.7,78.4,0
2017,Honduras,3.8,45,0,1,0,58.8,78.4,0
2018,Honduras,3.9,44.3,0,1,0,60.6,84.4,0
2019,Honduras,3.9,43.4,0,1,0,60.2,79.4,0
2006,Hong.Kong.SAR,5.3,90,0,1,0,88.6,90,0
2007,Hong.Kong.SAR,5.5,90,0,1,0,89.9,95,0
2008,Hong.Kong.SAR,5.4,90,0,1,0,89.7,95,0
2009,Hong.Kong.SAR,5.3,90,0,1,0,90,95,0
2011,Hong.Kong.SAR,5.5,90,0,1,0,89.7,90,0
2012,Hong.Kong.SAR,5.6,90,0,1,0,89.9,90,0
2013,Hong.Kong.SAR,5.7,90,0,1,0,89.3,90,0
2014,Hong.Kong.SAR,5.8,90,0,1,0,90.1,90,0
2015,Hong.Kong.SAR,6,90,0,1,0,89.6,90,0
2016,Hong.Kong.SAR,6,90,0,1,0,88.6,90,0
2017,Hong.Kong.SAR,5.9,93.7,0,1,0,89.8,90,0
2018,Hong.Kong.SAR,5.9,92.5,0,1,0,90.2,90,0
2019,Hong.Kong.SAR,6.1,93.3,0,1,0,90.2,95,0
2006,Iceland,6,90,0,1,0,75.8,78.2,0
2007,Iceland,5.9,90,0,1,0,76,84,0
2008,Iceland,6,90,0,1,0,75.8,85,0
2009,Iceland,5.5,90,0,1,0,75.9,88,0
2011,Iceland,5.2,90,0,1,0,68.2,88.2,0
2012,Iceland,5.2,90,0,1,0,70.9,88.2,0
2013,Iceland,4.8,90,0,1,0,72.1,87.8,0
2014,Iceland,4.8,90,0,1,0,72.4,87.9,0
2015,Iceland,5.3,90,0,1,0,72,88,0
2016,Iceland,5.7,90,0,1,0,73.3,87.8,0
2017,Iceland,5.7,85,0,1,0,74.4,88,0
2018,Iceland,5.5,86.7,0,1,0,77,88.5,0
2019,Iceland,5.5,87.4,0,1,0,77.1,87,0
2006,India,4.2,50,0,1,0,52.2,24,0
2007,India,4,50,1,1,2,53.9,51.2,1
2008,India,3.7,50,1,1,4,54.1,51,1
2009,India,3.6,50,1,1,4,54.4,51,1
2011,India,3.5,50,1,1,4,54.6,64.2,1
2012,India,3.7,50,1,1,6,54.6,64.1,1
2013,India,3.7,50,1,1,9,55.2,63.6,1
2014,India,3.7,50,1,1,9,55.7,65.6,1
2015,India,4.2,55,1,1,11,54.6,64.6,1
2016,India,4.5,55,1,1,11,56.2,71,1
2017,India,4.4,55.4,1,1,13,52.6,72.6,1
2018,India,4.6,55.4,1,1,14,54.5,72.4,1
2019,India,4.4,57.3,1,1,24,55.2,72.4,1
2006,Indonesia,3.4,30,0,1,0,51.9,74.6,0
2007,Indonesia,3.1,30,0,1,0,53.2,74,0
2008,Indonesia,2.9,30,0,1,0,53.2,73,0
2009,Indonesia,3.5,30,0,1,0,53.4,76.4,0
2011,Indonesia,3.6,30,0,1,0,56,73.8,0
2012,Indonesia,3.7,30,0,1,0,56.4,73.9,0
2013,Indonesia,3.9,30,0,1,8,56.9,75,0
2014,Indonesia,4.1,30,0,1,15,58.5,74.8,0
2015,Indonesia,4.3,30,0,1,22,58.1,74.8,0
2016,Indonesia,4.3,30,0,1,27,59.4,80.4,0
2017,Indonesia,4.5,48.3,0,1,27,61.9,80.5,0
2018,Indonesia,4.6,49.3,0,1,27,64.2,80.5,0
2019,Indonesia,4.6,52.2,0,1,27,65.8,79.8,0
2006,Israel,5.3,70,0,1,0,64.4,81,0
2007,Israel,5.1,70,0,1,0,64.8,85.2,0
2008,Israel,4.5,70,0,1,0,66.3,86.6,0
2009,Israel,4,70,0,1,0,67.6,86,0
2011,Israel,4.6,70,0,1,0,68.5,87.8,0
2012,Israel,4.8,70,0,1,0,67.8,83.6,0
2013,Israel,4.6,70,0,1,0,66.9,83,0
2014,Israel,4.6,75,0,1,0,68.4,82.9,0
2015,Israel,5,75,0,1,0,70.5,88.6,0
2016,Israel,5.7,75,0,1,0,70.7,88.2,0
2017,Israel,5.9,71.9,0,1,0,69.7,88,0
2018,Israel,5.6,78.2,0,1,0,72.2,85.5,0
2019,Israel,5.6,80,0,1,0,72.8,84.4,0
2006,Jamaica,3.7,50,0,1,0,66.4,65.4,0
2007,Jamaica,3.5,50,0,1,0,65.5,70.4,0
2008,Jamaica,3.5,50,0,1,0,65.7,70.4,0
2009,Jamaica,3.5,50,0,1,0,65.2,70.6,0
2011,Jamaica,3.4,40,0,1,0,65.7,72.2,0
2012,Jamaica,3.4,40,0,1,0,65.1,72.1,0
2013,Jamaica,3.5,40,0,1,0,66.8,75,0
2014,Jamaica,3.8,40,0,1,0,66.7,75.1,0
2015,Jamaica,4.2,40,0,1,0,67.7,75,0
2016,Jamaica,4.4,40,0,1,0,67.5,75.4,0
2017,Jamaica,4.4,58,0,1,0,69.5,75.3,0
2018,Jamaica,4.4,60.9,0,1,0,69.1,70.8,0
2019,Jamaica,4.3,60.7,0,1,0,68.6,68.4,0
2006,Japan,5.6,70,0,1,1,73.3,80.2,0
2007,Japan,5.6,70,0,1,1,72.7,80.2,0
2008,Japan,5.7,70,0,1,1,73,80,0
2009,Japan,5.4,70,0,1,1,72.8,82,0
2011,Japan,5.3,80,0,1,1,72.8,82.6,0
2012,Japan,5.4,80,0,1,1,71.6,81.8,0
2013,Japan,5.7,80,0,1,1,71.8,81.8,0
2014,Japan,6,80,0,1,1,72.4,82.4,0
2015,Japan,6.1,80,0,1,1,73.3,82.6,0
2016,Japan,5.9,80,0,1,1,73.1,82.6,0
2017,Japan,5.8,89.4,0,1,1,69.6,82.6,0
2018,Japan,5.9,86,0,1,2,72.3,82.3,0
2019,Japan,6,84.1,0,0.5,6,72.1,80,0
2006,Jordan,4.3,50,0,1,0,63.7,62.2,0
2007,Jordan,4.4,50,0,1,0,64.5,74.2,0
2008,Jordan,4.6,55,0,1,0,64.1,74.8,0
2009,Jordan,4.7,55,0,1,0,65.4,78.8,0
2011,Jordan,4.2,55,0,1,0,68.9,78.8,0
2012,Jordan,4.5,55,0,1,0,69.9,79.6,0
2013,Jordan,4.6,60,0,1,0,70.4,79.6,0
2014,Jordan,4.6,60,0,1,0,69.2,79.6,0
2015,Jordan,4.6,60,0,1,0,69.3,79.6,0
2016,Jordan,4.9,60,0,1,0,68.3,73.4,0
2017,Jordan,4.7,60.1,0,1,0,66.7,82,1
2018,Jordan,4.6,57.6,0,1,0,64.9,82,1
2019,Jordan,4.9,58.4,0,1,0,66.5,81.4,1
2006,Kazakhstan,3.1,30,0,1,0,60.2,69.2,0
