year,country,WEF_defacto_score,EF_PR_dejure_score,treatment_TRIPS,TRIPS_law_conformity,non_TRIPS_sum,EF_overall_score,EF_trade_freedom,borders_treated
2008,Argentina,-1.000619958,-0.678799972,0,1,0,-0.695244869,-0.482872121,0
2009,Argentina,-1.18864023,-1.134446483,0,1,0,-0.881998634,-0.445531121,0
2011,Argentina,-1.18864023,-1.134446483,0,1,2,-0.940973507,-0.492207371,0
2012,Argentina,-1.282650367,-1.134446483,0,1,21,-1.30465189,-0.66957712,0
2013,Argentina,-1.376660503,-1.362269738,0,1,26,-1.432430781,-0.66957712,0
2014,Argentina,-1.282650367,-1.362269738,0,1,28,-1.638842837,-0.54821887,0
2015,Argentina,-0.718589549,-1.362269738,0,1,29,-1.687988564,-0.55755412,0
2016,Argentina,-0.154528732,-1.362269738,0,1,30,-1.717476001,-0.68824762,0
2017,Argentina,-0.060518595,-0.56944481,0,1,30,-1.068752398,-0.753594369,0
2018,Argentina,-0.060518595,-0.186701741,0,1,30,-0.881998634,-0.417525371,0
2019,Argentina,0.127501677,0.132250816,0,1,30,-0.891827779,-0.445531121,0
2006,Armenia,-1.18864023,0.232493049,0,1,0,0.916734992,0.544005374,0
2007,Armenia,-1.000619958,-0.678799972,0,1,0,0.720152082,1.010767872,0
2008,Armenia,-1.000619958,-0.450976717,0,1,0,0.847930974,0.954756372,0
2009,Armenia,-1.000619958,-0.450976717,0,1,0,0.847930974,1.085449871,0
2011,Armenia,-0.718589549,-0.678799972,0,1,1,0.828272683,1.001432622,0
2012,Armenia,-0.342549004,-0.678799972,0,1,1,0.739810373,0.992097372,0
2013,Armenia,-0.154528732,-0.678799972,0,1,1,0.798785246,0.992097372,0
2014,Armenia,-0.248538868,-0.678799972,0,1,1,0.749639519,1.001432622,0
2015,Armenia,-0.248538868,-1.134446483,0,1,1,0.5727149,0.992097372,0
2016,Armenia,0.033491541,-1.134446483,0,1,1,0.562885754,1.010767872,0
2017,Armenia,0.221511813,0.48309863,0,1,1,0.887247556,0.506664374,0
2018,Armenia,0.31552195,0.473985699,0,1,1,0.729981228,0.487993874,0
2019,Armenia,0.409532086,0.560558536,0,1,3,0.631689773,0.562675874,1
2006,Australia,1.913694266,2.055079091,0,1,0,1.830845523,0.245277376,0
2007,Australia,2.007704402,2.055079091,1,1,1,1.948795269,0.842733373,0
2008,Australia,2.007704402,2.055079091,1,1,1,2.056915869,0.842733373,0
2009,Australia,1.913694266,2.055079091,1,1,1,2.096232451,0.936085872,0
2011,Australia,1.443643585,2.055079091,1,1,1,2.086403306,0.898744872,0
2012,Australia,1.443643585,2.055079091,1,1,7,2.145378179,1.066779372,0
2013,Australia,1.443643585,2.055079091,1,1,11,2.096232451,1.066779372,0
2014,Australia,1.631663857,2.055079091,1,1,11,2.037257578,1.085449871,0
2015,Australia,1.913694266,2.055079091,1,1,11,1.978282706,1.085449871,0
2016,Australia,1.913694266,2.055079091,1,1,11,1.870162105,1.085449871,0
2017,Australia,1.913694266,1.676892487,1,1,12,1.938966124,1.066779372,0
2018,Australia,1.913694266,1.540198534,1,1,12,1.929136978,1.066779372,0
2019,Australia,1.81968413,1.558424395,1,1,12,1.929136978,1.197472871,0
2006,Azerbaijan,-0.812599685,-0.678799972,0,1,0,-0.793536324,-0.202814622,0
2007,Azerbaijan,-0.718589549,-0.678799972,0,1,0,-0.655928287,0.263947876,0
2008,Azerbaijan,-0.248538868,-0.678799972,0,1,0,-0.587124269,0.338629875,0
2009,Azerbaijan,0.033491541,-0.906623228,0,1,0,-0.32173734,0.338629875,0
2011,Azerbaijan,-0.060518595,-1.134446483,0,1,0,-0.154641867,0.217271626,0
2012,Azerbaijan,0.127501677,-1.134446483,0,1,0,-0.233275031,0.226606876,0
2013,Azerbaijan,-0.060518595,-0.906623228,0,1,0,-0.154641867,0.226606876,0
2014,Azerbaijan,-0.248538868,-1.134446483,0,1,0,0.002624461,0.226606876,0
2015,Azerbaijan,-0.248538868,-1.134446483,0,1,0,-0.026862976,0.114583876,0
2016,Azerbaijan,0.31552195,-1.134446483,0,1,0,-0.10549614,0.095913376,0
2017,Azerbaijan,0.973592903,0.255275374,0,1,0,0.228694807,-0.034780123,0
2018,Azerbaijan,0.973592903,0.396525793,0,1,0,0.297498826,-0.016109623,0
2019,Azerbaijan,1.349633448,0.647131373,0,1,0,0.405619426,-0.016109623,1
2006,Bahrain,0.31552195,1.14378607,0,1,0,1.015026447,-0.482872121,0
2007,Bahrain,0.879582767,0.688139559,0,1,0,0.975709865,0.450652875,0
2008,Bahrain,1.06760304,0.688139559,0,1,0,1.07400132,0.562675874,0
2009,Bahrain,1.255623312,0.688139559,0,1,0,1.329559103,0.487993874,0
2011,Bahrain,1.443643585,0.688139559,0,1,0,1.614604322,0.749380873,0
2012,Bahrain,1.255623312,0.460316304,1,1,0,1.368875685,0.749380873,0
2013,Bahrain,0.973592903,0.460316304,1,1,0,1.398363121,0.749380873,0
2014,Bahrain,0.879582767,0.688139559,1,1,0,1.359046539,0.357300375,0
2015,Bahrain,0.973592903,0.688139559,1,1,0,1.191951066,0.357300375,0
2016,Bahrain,1.161613176,0.688139559,1,1,0,1.280413375,0.730710373,0
2017,Bahrain,1.161613176,0.879511094,1,0.5,2,0.710322937,0.749380873,1
2018,Bahrain,1.161613176,0.783825327,1,0.5,2,0.631689773,0.805392373,1
2019,Bahrain,1.349633448,0.847615838,1,0.5,2,0.503910881,0.842733373,1
2006,Bangladesh,-1.564680775,-0.678799972,0,1,0,-0.823023761,-2.480615611,0
2007,Bangladesh,-1.658690912,-0.678799972,0,1,0,-1.432430781,-6.980206088,0
2008,Bangladesh,-1.658690912,-0.906623228,0,1,0,-1.678159419,-6.980206088,0
2009,Bangladesh,-1.282650367,-0.906623228,0,1,0,-1.353797617,-3.227435607,0
2011,Bangladesh,-1.282650367,-1.134446483,0,1,0,-0.813194615,-1.565761115,0
2012,Bangladesh,-1.282650367,-1.134446483,0,1,0,-0.793536324,-1.939171113,0
2013,Bangladesh,-1.094630094,-1.134446483,0,1,0,-0.852511197,-1.939171113,0
2014,Bangladesh,-1.18864023,-1.134446483,0,1,0,-0.705074015,-1.472408616,0
2015,Bangladesh,-1.094630094,-1.134446483,0,1,0,-0.724732306,-1.472408616,0
2016,Bangladesh,-0.718589549,-1.134446483,0,1,0,-0.783707179,-1.042987118,0
2017,Bangladesh,-0.530569277,-0.455533182,0,1,0,-0.616611705,-1.042987118,0
2018,Bangladesh,-0.342549004,-0.56944481,0,1,0,-0.60678256,-1.267033117,0
2019,Bangladesh,-0.530569277,-0.400855601,0,1,0,-0.557636832,-1.042987118,0
2006,Barbados,0.691562495,2.055079091,0,1,0,1.044513883,-2.125876112,0
2007,Barbados,0.597552358,2.055079091,0,1,0,0.857760119,-1.659113615,0
2008,Barbados,0.973592903,2.055079091,0,1,0,0.98553901,-1.491079116,0
2009,Barbados,1.06760304,2.055079091,0,1,0,1.005197301,-0.949634618,0
2011,Barbados,1.255623312,1.599432581,0,1,0,0.710322937,-1.332379866,0
2012,Barbados,1.06760304,1.599432581,0,1,0,0.759468664,-1.332379866,0
2013,Barbados,0.691562495,1.599432581,0,1,0,0.788956101,-1.332379866,0
2014,Barbados,0.691562495,1.599432581,0,1,0,0.690664646,-1.323044616,0
2016,Barbados,0.597552358,1.599432581,0,1,0,0.690664646,-1.173680617,0
2019,Barbados,0.409532086,0.364630537,0,1,0,0.336815408,-1.696454615,0
2011,Belize,-0.43655914,-0.223153462,0,1,0,0.248353098,-0.305502372,0
2006,Benin,-0.624579413,-0.678799972,0,1,0,-0.71490316,-1.416397116,0
2007,Benin,-0.43655914,-0.678799972,0,1,0,-0.60678256,-0.949634618,0
2008,Benin,-0.624579413,-0.678799972,0,1,0,-0.596953414,-0.893623119,0
2009,Benin,-0.812599685,-0.678799972,0,1,0,-0.577295123,-0.68824762,0
2011,Benin,-0.718589549,-0.678799972,0,1,0,-0.51832025,-1.491079116,0
2012,Benin,-0.530569277,-0.678799972,0,1,0,-0.547807687,-1.444402866,0
2013,Benin,-0.624579413,-0.678799972,0,1,0,-0.361053922,-1.444402866,0
2015,Benin,0.033491541,-0.678799972,0,1,0,-0.243104176,-1.528420115,0
2016,Benin,0.033491541,-0.678799972,0,1,0,-0.193958449,-1.491079116,0
2017,Benin,-0.154528732,-0.405412066,0,1,0,-0.203787594,-0.56688937,0
2018,Benin,-0.060518595,-0.428194392,0,1,0,-0.449516232,-1.789807114,0
2019,Benin,0.221511813,-0.350734485,0,1,0,-0.587124269,-1.211021617,0
2013,Bhutan,0.31552195,0.688139559,0,1,0,-0.616611705,-2.359257361,1
2014,Bhutan,0.221511813,0.688139559,0,1,0,-0.449516232,-2.368592611,1
2015,Bhutan,0.31552195,0.688139559,0,1,0,-0.380712213,-2.368592611,1
2016,Bhutan,0.691562495,0.688139559,0,1,0,-0.174300158,-1.379056116,1
2017,Bhutan,0.879582767,0.692696024,0,1,0,-0.282420758,-1.379056116,1
2006,Bolivia,-1.752701048,-0.678799972,0,1,0,-0.341395631,-0.034780123,0
2007,Bolivia,-1.658690912,-0.678799972,0,1,0,-0.695244869,0.413311875,0
2008,Bolivia,-1.752701048,-0.906623228,0,1,0,-0.80336547,0.394641375,0
2009,Bolivia,-1.94072132,-1.134446483,0,1,0,-0.754219742,0.656028374,0
2011,Bolivia,-1.094630094,-1.590092994,0,1,0,-1.10806898,0.263947876,0
2012,Bolivia,-0.530569277,-1.590092994,0,1,0,-1.088410689,-0.044115373,0
2013,Bolivia,-0.530569277,-1.590092994,0,1,0,-1.314481035,-0.044115373,0
2014,Bolivia,-0.43655914,-1.590092994,0,1,0,-1.265335308,0.263947876,0
2015,Bolivia,-0.530569277,-1.590092994,0,1,0,-1.422601636,0.263947876,0
2016,Bolivia,-1.000619958,-1.590092994,0,1,0,-1.363626763,0.170595376,0
2018,Bolivia,-1.376660503,-1.180011134,0,1,0,-1.687988564,0.067907627,0
2019,Bolivia,-1.18864023,-1.111664158,0,1,0,-1.864913183,-0.408190121,0
2006,Bosnia.and.Herzegovina,-1.376660503,-1.590092994,0,1,0,-0.557636832,0.039901877,0
2007,Bosnia.and.Herzegovina,-1.282650367,-1.590092994,0,1,0,-0.675586578,0.506664374,0
2008,Bosnia.and.Herzegovina,-1.376660503,-1.590092994,0,1,0,-0.724732306,0.469323375,0
2009,Bosnia.and.Herzegovina,-1.658690912,-1.590092994,0,1,0,-0.80336547,0.226606876,0
2011,Bosnia.and.Herzegovina,-1.094630094,-1.134446483,0,1,0,-0.370883068,1.048108872,1
2012,Bosnia.and.Herzegovina,-1.18864023,-1.134446483,0,1,0,-0.390541359,1.048108872,1
2013,Bosnia.and.Herzegovina,-1.18864023,-1.134446483,0,1,0,-0.390541359,1.085449871,1
2015,Bosnia.and.Herzegovina,-0.812599685,-1.134446483,0,1,0,-0.223445885,1.160131871,1
2016,Bosnia.and.Herzegovina,-0.812599685,-1.134446483,0,1,0,-0.262762467,1.141461371,1
2017,Bosnia.and.Herzegovina,-0.718589549,-0.168475881,0,1,0,-0.10549614,1.104120371,1
2018,Bosnia.and.Herzegovina,-0.812599685,-0.245935787,0,1,0,0.012453606,1.216143371,1
2019,Bosnia.and.Herzegovina,-0.812599685,-0.214040532,0,1,0,0.061599334,0.730710373,1
2006,Botswana,-0.342549004,1.14378607,0,1,0,0.739810373,0.282618376,0
2007,Botswana,-0.624579413,1.14378607,0,1,0,0.671006355,-0.482872121,0
2008,Botswana,-0.43655914,1.14378607,0,1,0,0.6808355,-0.66957712,0
2009,Botswana,0.127501677,1.371609325,0,1,0,0.828272683,-0.53888362,0
2011,Botswana,0.221511813,1.14378607,0,1,0,0.739810373,0.039901877,0
2012,Botswana,0.31552195,1.14378607,0,1,0,0.818443537,0.459988125,0
2013,Botswana,0.31552195,1.14378607,0,1,0,0.916734992,0.459988125,0
2014,Botswana,0.409532086,1.14378607,0,1,0,1.054343029,0.740045623,0
2015,Botswana,0.503542222,1.14378607,0,1,0,0.838101828,-0.240155622,0
2016,Botswana,0.503542222,1.14378607,0,1,0,0.965880719,0.861403873,0
2017,Botswana,0.409532086,0.601566722,0,1,0,0.867589265,0.842733373,0
2018,Botswana,0.31552195,0.583340862,0,1,0,0.847930974,0.852068623,0
2019,Botswana,0.31552195,0.601566722,0,1,0,0.808614392,0.842733373,0
2006,Brazil,-0.342549004,0.232493049,0,1,0,-0.036692121,-0.53888362,0
2007,Brazil,-0.43655914,0.232493049,0,1,3,-0.498661959,-0.464201621,0
2008,Brazil,-0.43655914,0.232493049,0,1,3,-0.498661959,-0.370849121,0
2009,Brazil,-0.718589549,0.232493049,0,1,3,-0.449516232,-0.296167122,0
2011,Brazil,-0.530569277,0.232493049,0,1,3,-0.488832814,-0.464201621,0
2012,Brazil,-0.248538868,0.232493049,0,1,3,-0.331566486,-0.473536871,0
2013,Brazil,-0.248538868,0.232493049,0,1,3,-0.351224777,-0.473536871,0
2014,Brazil,-0.43655914,0.232493049,0,1,6,-0.429857941,-0.510877871,0
2015,Brazil,-0.060518595,0.232493049,0,1,9,-0.459345377,-0.482872121,0
2016,Brazil,0.31552195,0.004669793,0,1,9,-0.469174523,-0.501542621,0
2017,Brazil,0.409532086,0.460316304,0,1,9,-0.823023761,-0.501542621,0
2018,Brazil,0.221511813,0.496768025,0,1,9,-0.970460943,-0.58555987,0
2019,Brazil,0.033491541,0.565115001,0,1,9,-0.921315216,-0.53888362,0
2008,Brunei.Darussalam,0.127501677,-0.678799972,0,1,0,0.238523953,1.048108872,0
2009,Brunei.Darussalam,0.127501677,-0.678799972,0,1,0,0.326986262,1.029438372,0
2011,Brunei.Darussalam,0.127501677,-0.678799972,0,1,0,0.356473699,1.197472871,0
2012,Brunei.Darussalam,0.221511813,-0.678799972,0,1,0,0.336815408,1.150796621,0
2013,Brunei.Darussalam,0.597552358,-0.678799972,0,1,0,0.366302844,1.122790871,0
2016,Brunei.Darussalam,0.503542222,-0.678799972,0,1,0,0.592373191,0.973426872,0
2017,Brunei.Darussalam,0.597552358,0.802051187,0,1,0,0.838101828,1.33750162,0
2018,Brunei.Darussalam,0.597552358,0.533219746,0,1,0,0.28766968,1.33750162,0
2019,Brunei.Darussalam,0.503542222,0.870398164,0,1,0,0.37613199,0.861403873,0
2006,Burundi,-1.658690912,-0.678799972,0,1,0,-1.235847871,-1.752466114,0
2007,Burundi,-1.564680775,-0.678799972,0,1,0,-1.41277249,-1.323044616,0
2008,Burundi,-1.470670639,-0.678799972,0,1,0,-1.481576509,-2.293910612,0
2009,Burundi,-1.564680775,-0.678799972,0,1,0,-1.226018726,-1.098998618,0
2011,Burundi,-1.752701048,-1.134446483,0,1,0,-1.147385562,0.375970875,0
2012,Burundi,-1.752701048,-1.134446483,0,1,0,-1.294822744,0.385306125,0
2013,Burundi,-1.376660503,-1.134446483,0,1,0,-1.206360435,0.385306125,0
2014,Burundi,-1.094630094,-1.134446483,0,1,0,-0.970460943,-0.277496622,0
2015,Burundi,-1.094630094,-1.134446483,0,1,0,-0.744390597,-0.240155622,0
2016,Burundi,-1.000619958,-1.134446483,0,1,0,-0.724732306,-0.053450623,0
2017,Burundi,-0.530569277,-0.874727972,0,1,0,-0.793536324,-0.053450623,0
2018,Burundi,-0.530569277,-1.243801646,0,1,0,-1.019606671,-0.52021312,0
2019,Burundi,0.033491541,-1.107107692,0,1,0,-1.21618958,-0.61356562,0
2008,CÃƒÂ´te.d.Ivoire,-1.564680775,-0.678799972,0,1,0,-0.724732306,-1.397726616,0
2009,CÃƒÂ´te.d.Ivoire,-1.564680775,-0.678799972,0,1,0,-0.616611705,-0.408190121,0
2011,CÃƒÂ´te.d.Ivoire,-1.376660503,-0.678799972,0,1,0,-0.577295123,-0.240155622,0
2012,CÃƒÂ´te.d.Ivoire,-1.094630094,-1.134446483,0,1,0,-0.685415724,-0.417525371,0
2013,CÃƒÂ´te.d.Ivoire,-1.000619958,-0.906623228,0,1,0,-0.705074015,-0.417525371,0
2014,CÃƒÂ´te.d.Ivoire,-0.624579413,-0.678799972,0,1,0,-0.351224777,-0.314837621,0
2015,CÃƒÂ´te.d.Ivoire,0.127501677,-0.450976717,0,1,0,-0.272591613,-0.314837621,0
2016,CÃƒÂ´te.d.Ivoire,-0.060518595,-0.678799972,0,1,0,-0.125154431,-0.277496622,0
2018,CÃƒÂ´te.d.Ivoire,-0.154528732,-0.250492253,0,1,0,0.071428479,-0.100126873,0
2019,CÃƒÂ´te.d.Ivoire,0.127501677,-0.182145276,0,1,0,0.110745061,-0.109462123,0
2006,Cambodia,-1.18864023,-0.678799972,0,1,0,-0.449516232,-1.995182613,0
2007,Cambodia,-1.000619958,-0.678799972,0,1,0,-0.528149396,-2.107205612,0
2008,Cambodia,-1.000619958,-0.678799972,0,1,0,-0.528149396,-2.107205612,0
2009,Cambodia,-1.000619958,-0.678799972,0,1,0,-0.459345377,-1.061657618,0
2011,Cambodia,-0.624579413,-0.678799972,0,1,0,-0.331566486,-0.445531121,0
2012,Cambodia,-0.43655914,-0.678799972,0,1,0,-0.361053922,-0.893623119,0
2013,Cambodia,-0.530569277,-0.678799972,0,1,0,-0.272591613,-0.426860621,0
2014,Cambodia,-0.906609822,-0.678799972,0,1,0,-0.380712213,-0.352178621,0
2015,Cambodia,-0.906609822,-0.906623228,0,1,0,-0.370883068,-0.240155622,0
2016,Cambodia,-0.718589549,-0.906623228,0,1,0,-0.331566486,-0.240155622,0
2017,Cambodia,-0.624579413,-0.113798299,0,1,0,-0.174300158,0.515999624,0
2018,Cambodia,-0.43655914,-0.405412066,0,1,0,-0.252933322,0.515999624,0
2019,Cambodia,-0.248538868,-0.341621555,0,1,0,-0.341395631,-0.874952619,0
2006,Cameroon,-0.342549004,-0.678799972,0,1,0,-0.655928287,-1.864489114,0
2007,Cameroon,-0.248538868,-0.678799972,0,1,0,-0.557636832,-1.379056116,0
2008,Cameroon,-0.624579413,-0.678799972,0,1,0,-0.685415724,-1.659113615,0
2009,Cameroon,-1.094630094,-0.678799972,0,1,0,-0.813194615,-1.752466114,0
2011,Cameroon,-0.718589549,-0.678799972,0,1,0,-0.931144361,-1.416397116,0
2012,Cameroon,-0.624579413,-0.678799972,0,1,0,-0.931144361,-1.855153864,0
2013,Cameroon,-0.530569277,-0.678799972,0,1,0,-0.881998634,-1.855153864,0
2014,Cameroon,-0.342549004,-0.678799972,0,1,0,-0.852511197,-1.267033117,0
2015,Cameroon,0.127501677,-0.906623228,0,1,0,-0.921315216,-1.416397116,0
2016,Cameroon,0.503542222,-0.906623228,0,1,0,-0.695244869,-1.229692117,0
2017,Cameroon,0.691562495,-0.063677183,0,1,0,-0.931144361,-1.995182613,0
2018,Cameroon,0.503542222,-0.195814671,0,1,0,-0.921315216,-1.995182613,0
2019,Cameroon,0.31552195,-0.109241834,0,1,0,-0.872169488,-1.995182613,0
2006,Canada,1.725673993,2.055079091,0,1,2,1.585116886,0.786721873,0
2007,Canada,1.81968413,2.055079091,0,1,4,1.644091759,1.253484371,0
2008,Canada,1.725673993,2.055079091,0,1,4,1.86033296,1.141461371,0
2009,Canada,1.631663857,2.055079091,0,1,4,1.889820396,1.253484371,0
2011,Canada,1.537653721,2.055079091,0,1,10,1.919307833,1.244149121,0
2012,Canada,1.537653721,2.055079091,0,1,10,1.830845523,1.225478621,0
2013,Canada,1.725673993,2.055079091,0,1,10,1.781699796,1.253484371,0
2014,Canada,1.81968413,2.055079091,0,1,12,1.86033296,1.262819621,0
2015,Canada,1.913694266,2.055079091,0,1,12,1.752212359,1.272154871,0
2016,Canada,2.007704402,2.055079091,0,1,12,1.644091759,1.141461371,0
2017,Canada,1.913694266,1.977619184,0,1,15,1.693237486,1.272154871,0
2018,Canada,1.725673993,1.941167463,0,1,17,1.614604322,1.244149121,0
2019,Canada,1.631663857,1.918385138,0,1,17,1.614604322,1.122790871,0
2006,Chad,-1.658690912,-0.678799972,0,1,0,-1.10806898,-1.659113615,0
2007,Chad,-1.564680775,-1.134446483,0,1,0,-1.098239835,-1.453738116,0
2008,Chad,-1.564680775,-1.134446483,0,1,0,-1.324310181,-1.379056116,0
2009,Chad,-1.470670639,-1.134446483,0,1,0,-1.353797617,-1.528420115,0
2011,Chad,-1.376660503,-1.134446483,0,1,0,-1.570038818,-1.789807114,0
2012,Chad,-1.564680775,-1.134446483,0,1,0,-1.619184546,-1.789807114,0
2013,Chad,-1.470670639,-1.134446483,0,1,0,-1.579867964,-1.789807114,0
2014,Chad,-1.18864023,-1.134446483,0,1,0,-1.648671982,-1.827148114,0
2015,Chad,-0.906609822,-1.134446483,0,1,0,-1.511063945,-1.827148114,0
2016,Chad,-0.906609822,-1.134446483,0,1,0,-1.471747363,-2.331251611,0
2017,Chad,-0.812599685,-0.651461182,0,1,0,-1.206360435,-1.873824364,0
2018,Chad,-0.624579413,-0.902066763,0,1,0,-1.176872999,-2.107205612,0
2019,Chad,-0.624579413,-0.829163321,0,1,0,-1.117898126,-2.57396811,0
2006,Chile,0.221511813,2.055079091,0,1,0,1.644091759,0.263947876,0
2007,Chile,0.221511813,2.055079091,0,1,5,1.614604322,0.712039873,0
2008,Chile,-0.154528732,2.055079091,0,1,5,1.703066632,0.693369373,0
2009,Chile,-0.154528732,2.055079091,0,1,8,1.673579195,1.029438372,0
2011,Chile,-0.154528732,1.827255836,0,1,8,1.585116886,1.234813871,0
2012,Chile,-0.060518595,2.055079091,0,1,8,1.673579195,0.674698874,0
2013,Chile,0.033491541,2.055079091,0,1,8,1.742383214,0.674698874,0
2014,Chile,0.127501677,2.055079091,0,1,8,1.712895777,0.674698874,0
2015,Chile,0.409532086,2.055079091,0,1,8,1.693237486,0.674698874,0
2016,Chile,0.503542222,1.827255836,0,1,8,1.614604322,1.085449871,0
2017,Chile,0.597552358,1.061769698,0,1,8,1.496654576,1.085449871,0
2018,Chile,0.691562495,1.048100303,0,1,8,1.368875685,1.30016062,0
2019,Chile,0.879582767,1.084552024,0,1,8,1.388533976,1.30949587,0
2006,China,-0.530569277,-0.678799972,0,1,10,-0.754219742,-0.63223612,0
2007,China,-0.342549004,-1.134446483,0,0.5,21,-0.91148607,-0.63223612,0
2008,China,0.127501677,-1.134446483,0,0.5,26,-0.80336547,-0.426860621,0
2009,China,0.221511813,-1.134446483,0,1,44,-0.793536324,-0.314837621,0
2011,China,0.221511813,-1.134446483,0,1,58,-0.91148607,-0.296167122,0
2012,China,0.127501677,-1.134446483,0,1,73,-0.990119234,-0.296167122,0
2013,China,0.127501677,-1.134446483,0,1,78,-0.921315216,-0.258826122,0
2014,China,0.221511813,-1.134446483,0,1,80,-0.862340343,-0.277496622,0
2015,China,0.221511813,-1.134446483,0,1,81,-0.842682052,-0.277496622,0
2016,China,0.503542222,-1.134446483,0,1,88,-0.91148607,-0.184144122,0
2017,China,0.691562495,0.155033142,0,1,92,-0.380712213,-0.109462123,0
2018,China,0.691562495,0.0821297,0,0.5,95,-0.341395631,-0.146803122,0
2019,China,0.691562495,0.227936584,0,0.5,97,-0.282420758,-0.165473622,0
2006,Colombia,-0.154528732,-0.678799972,0,1,2,-0.085837849,-0.837611619,0
2007,Colombia,-0.248538868,-0.678799972,0,1,4,-0.134983576,-0.314837621,0
2008,Colombia,-0.342549004,-0.223153462,0,1,4,0.09108677,-0.370849121,0
2009,Colombia,-0.718589549,-0.223153462,0,1,4,0.100915916,-0.221485122,0
2011,Colombia,-0.530569277,0.232493049,0,1,4,0.661177209,-0.146803122,0
2012,Colombia,-0.530569277,0.232493049,0,1,4,0.661177209,-0.240155622,0
2013,Colombia,-0.530569277,0.232493049,0,1,5,0.818443537,-0.240155622,0
2014,Colombia,-0.530569277,0.232493049,0,1,5,0.926564138,0.375970875,0
2015,Colombia,-0.060518595,0.232493049,0,1,5,1.024855592,0.600016874,0
2016,Colombia,0.409532086,0.232493049,0,1,6,0.936393283,0.581346374,0
2017,Colombia,0.221511813,0.861285233,0,1,6,0.828272683,0.637357874,0
2018,Colombia,0.127501677,0.720034815,0,1,6,0.749639519,0.637357874,0
2019,Colombia,0.033491541,0.651687838,0,1,7,0.592373191,0.114583876,0
2006,Costa.Rica,0.033491541,0.232493049,0,1,0,0.454765154,0.245277376,0
2007,Costa.Rica,-0.060518595,0.232493049,0,1,0,0.268011389,0.712039873,0
2008,Costa.Rica,-0.248538868,0.232493049,0,1,0,0.28766968,0.656028374,0
2009,Costa.Rica,-0.248538868,0.232493049,0,1,0,0.503910881,0.656028374,0
2011,Costa.Rica,-0.248538868,0.460316304,0,1,0,0.592373191,0.973426872,0
2012,Costa.Rica,-0.154528732,0.460316304,0,1,0,0.661177209,0.964091622,0
2013,Costa.Rica,0.033491541,0.232493049,0,1,0,0.562885754,0.964091622,0
2014,Costa.Rica,0.221511813,0.232493049,0,1,0,0.553056609,0.842733373,0
